time,PV,OUT,SP
0,58.26405235,82.5,50
0.101010101,38.17301993,-11.13568637,50
0.202020202,45.79900088,24.10131449,50
0.303030303,44.58021166,11.69659231,50
0.404040404,44.76935669,14.50899349,50
0.505050505,41.95831083,14.67794357,50
0.606060606,44.91982658,19.84869081,50
0.707070707,42.97380408,15.62580645,50
0.808080808,43.79534849,19.4928367,50
0.909090909,44.15911988,18.7426069,50
1.01010101,43.90482887,18.80392647,50
1.111111111,45.41943015,19.82578323,50
1.212121212,44.34573646,17.92349367,50
1.313131313,44.16745008,20.22887531,50
1.414141414,44.65082113,21.03478951,50
1.515151515,44.49598792,20.81156794,50
1.616161616,45.81930491,21.62612919,50
1.717171717,43.79190488,19.98531569,50
1.818181818,45.07601992,23.81476111,50
1.919191919,43.58898642,22.21541079,50
2.02020202,42.49213415,25.22561984,50
2.121212121,46.17405375,27.60217576,50
2.222222222,45.30902668,22.2229524,50
2.323232323,44.10122251,24.21693767,50
2.424242424,47.59688673,26.63566052,50
2.525252525,42.82509475,21.3973021,50
2.626262626,45.9829292,29.68585341,50
2.727272727,44.80368165,24.95432749,50
2.828282828,47.02471617,27.45968475,50
2.929292929,46.32048822,24.25564726,50
3.03030303,45.32018812,25.82620347,50
3.131313131,45.9400502,27.80943842,50
3.232323232,44.55314069,27.20463217,50
3.333333333,44.00520772,29.93002096,50
3.434343434,45.91397801,31.3094508,50
3.535353535,45.90276145,28.7320624,50
3.636363636,47.08121277,29.25461044,50
3.737373737,46.74624561,27.71932879,50
3.838383838,45.33723836,28.6228259,50
3.939393939,45.94896024,31.25631493,50
4.04040404,45.08000696,30.64279964,50
4.141414141,45.08243459,32.51226261,50
4.242424242,44.88509154,32.95680868,50
4.343434343,48.70563592,33.77430262,50
4.444444444,45.08475344,27.97202809,50
4.545454545,46.41531526,34.26694782,50
4.646464646,45.22360491,32.38200134,50
4.747474747,47.73215435,34.77331999,50
4.848484848,44.59655563,31.05226739,50
4.949494949,47.10290318,36.57821732,50
5.050505051,45.66979511,32.82630836,50
5.151515152,47.50809525,35.60596374,50
5.252525253,46.07602158,32.9341336,50
5.353535354,45.94699994,35.63816063,50
5.454545455,47.20618587,36.1718405,50
5.555555556,47.3269384,34.49303264,50
5.656565657,46.99374356,34.63613168,50
5.757575758,47.39432129,35.45924695,50
5.858585859,46.38212983,35.0822596,50
5.95959596,47.04385329,37.03297227,50
6.060606061,46.57800075,36.252306,50
6.161616162,47.11037954,37.34966353,50
6.262626263,46.54488288,36.79014582,50
6.363636364,45.88147666,38.0387963,50
6.464646465,48.06755683,39.45065345,50
6.565656566,46.8426797,36.22230318,50
6.666666667,46.07898141,38.54589877,50
6.767676768,48.47488008,40.06048913,50
6.868686869,46.38493629,36.46117326,50
6.96969697,48.08832289,40.18188745,50
7.070707071,48.25475231,37.62830874,50
7.171717172,47.65499036,37.63003723,50
7.272727273,48.89989882,38.8024907,50
7.373737374,46.1557551,36.95290459,50
7.474747475,48.7329411,41.65299728,50
7.575757576,46.84476145,37.64785769,50
7.676767677,47.33298671,41.0189193,50
7.777777778,47.50804283,40.43446249,50
7.878787879,47.77579396,40.43673248,50
7.97979798,48.10674367,40.25289163,50
8.080808081,46.82337672,39.94263278,50
8.181818182,49.35403876,42.26606137,50
8.282828283,48.13445504,38.34396298,50
8.383838384,46.57323738,40.54740535,50
8.484848485,50.13805015,43.24898979,50
8.585858586,49.422222,37.6316641,50
8.686868687,48.97422281,38.97721618,50
8.787878788,47.76775541,39.73840123,50
8.888888889,47.29109742,41.8092502,50
8.98989899,49.60617912,42.75863697,50
9.090909091,47.43398496,39.18580952,50
9.191919192,49.80745828,42.92506607,50
9.292929293,48.03964035,39.15682687,50
9.393939394,49.4189699,42.2116543,50
9.494949495,48.36504752,40.04340562,50
9.595959596,49.08846257,41.90944703,50
9.696969697,48.17582228,40.82661132,50
9.797979798,50.27782895,42.45979229,50
9.898989899,47.9525655,39.12826705,50
10,49.0104432,43.04226918,50
